age,min_recommended,max_recommended,may_be_appropriate_min,may_be_appropriate_max,min_not_recommended,max_not_recommended
0,14,17,11,13,11,19
1,14,17,11,13,11,19
2,14,17,11,13,11,19
3,14,17,11,13,11,19
4,12,15,10,11,10,18
5,12,15,10,11,10,18
6,12,15,10,11,10,18
7,12,15,10,11,10,18
8,12,15,10,11,10,18
9,12,15,10,11,10,18
10,12,15,10,11,10,18
11,12,15,10,11,10,18
12,11,14,9,10,9,16
13,11,14,9,10,9,16
14,11,14,9,10,9,16
15,11,14,9,10,9,16
16,11,14,9,10,9,16
17,11,14,9,10,9,16
18,11,14,9,10,9,16
19,11,14,9,10,9,16
20,11,14,9,10,9,16
21,11,14,9,10,9,16
22,11,14,9,10,9,16
23,11,14,9,10,9,16
24,11,14,9,10,9,16
36,10,13,8,9,8,14
37,10,13,8,9,8,14
38,10,13,8,9,8,14
39,10,13,8,9,8,14
40,10,13,8,9,8,14
41,10,13,8,9,8,14
42,10,13,8,9,8,14
43,10,13,8,9,8,14
44,10,13,8,9,8,14
45,10,13,8,9,8,14
46,10,13,8,9,8,14
47,10,13,8,9,8,14
48,10,13,8,9,8,14
49,10,13,8,9,8,14
50,10,13,8,9,8,14
51,10,13,8,9,8,14
52,10,13,8,9,8,14
53,10,13,8,9,8,14
54,10,13,8,9,8,14
55,10,13,8,9,8,14
56,10,13,8,9,8,14
57,10,13,8,9,8,14
58,10,13,8,9,8,14
59,10,13,8,9,8,14
60,10,13,8,9,8,14
72,9,11,7,8,7,12
73,9,11,7,8,7,12
74,9,11,7,8,7,12
75,9,11,7,8,7,12
76,9,11,7,8,7,12
77,9,11,7,8,7,12
78,9,11,7,8,7,12
79,9,11,7,8,7,12
80,9,11,7,8,7,12
81,9,11,7,8,7,12
82,9,11,7,8,7,12
83,9,11,7,8,7,12
84,9,11,7,8,7,12
85,9,11,7,8,7,12
86,9,11,7,8,7,12
87,9,11,7,8,7,12
88,9,11,7,8,7,12
89,9,11,7,8,7,12
90,9,11,7,8,7,12
91,9,11,7,8,7,12
92,9,11,7,8,7,12
93,9,11,7,8,7,12
94,9,11,7,8,7,12
95,9,11,7,8,7,12
96,9,11,7,8,7,12
97,9,11,7,8,7,12
98,9,11,7,8,7,12
99,9,11,7,8,7,12
100,9,11,7,8,7,12
101,9,11,7,8,7,12
102,9,11,7,8,7,12
103,9,11,7,8,7,12
104,9,11,7,8,7,12
105,9,11,7,8,7,12
106,9,11,7,8,7,12
107,9,11,7,8,7,12
108,9,11,7,8,7,12
109,9,11,7,8,7,12
110,9,11,7,8,7,12
111,9,11,7,8,7,12
112,9,11,7,8,7,12
113,9,11,7,8,7,12
114,9,11,7,8,7,12
115,9,11,7,8,7,12
116,9,11,7,8,7,12
117,9,11,7,8,7,12
118,9,11,7,8,7,12
119,9,11,7,8,7,12
120,9,11,7,8,7,12
121,9,11,7,8,7,12
122,9,11,7,8,7,12
123,9,11,7,8,7,12
124,9,11,7,8,7,12
125,9,11,7,8,7,12
126,9,11,7,8,7,12
127,9,11,7,8,7,12
128,9,11,7,8,7,12
129,9,11,7,8,7,12
130,9,11,7,8,7,12
131,9,11,7,8,7,12
132,9,11,7,8,7,12
133,9,11,7,8,7,12
134,9,11,7,8,7,12
135,9,11,7,8,7,12
136,9,11,7,8,7,12
137,9,11,7,8,7,12
138,9,11,7,8,7,12
139,9,11,7,8,7,12
140,9,11,7,8,7,12
141,9,11,7,8,7,12
142,9,11,7,8,7,12
143,9,11,7,8,7,12
144,9,11,7,8,7,12
145,9,11,7,8,7,12
146,9,11,7,8,7,12
147,9,11,7,8,7,12
148,9,11,7,8,7,12
149,9,11,7,8,7,12
150,9,11,7,8,7,12
151,9,11,7,8,7,12
152,9,11,7,8,7,12
153,9,11,7,8,7,12
154,9,11,7,8,7,12
155,9,11,7,8,7,12
